OBSID,LCITY,INCOME,WEEKEND,FEMSEX,ALONE,FREQ_AIR,FREQ_RAIL,IVTT_CAR,IVTT_AIR,IVTT_RAIL,OVTT_AIR,OVTT_RAIL,TCCAR,TCAIR,TCRAIL,chosen
56,0,45,0,0,0,9,4,262,56,215,85,74,71.63,142.8,58.25,1
57,0,70,0,0,1,9,4,262,56,215,85,74,71.63,142.8,58.25,1
58,0,15,0,0,1,9,4,262,56,215,85,74,71.63,142.8,58.25,1
59,0,70,0,0,1,9,4,262,56,215,85,74,71.63,142.8,58.25,1
60,0,55,0,0,1,9,4,262,56,215,85,74,71.63,142.8,58.25,1
61,0,35,0,0,1,9,4,262,56,215,85,74,71.63,142.8,58.25,1
62,0,35,1,0,0,9,4,262,56,215,85,74,71.63,142.8,58.25,1
63,0,55,0,0,0,9,2,251,56,316,85,59,73.53,145.8,58.25,1
64,0,45,0,0,1,9,2,251,56,316,85,59,73.53,145.8,58.25,1
65,0,70,1,0,1,9,2,265,56,316,94,74,76.76,146.2,60.25,1
66,1,70,1,1,1,9,4,245,56,237,77,94,69.35,151.2,60.85,3
67,1,55,0,0,0,9,4,245,56,237,77,94,69.35,151.2,60.85,2
68,1,55,0,1,1,9,4,245,56,237,77,94,69.35,151.2,60.85,2
69,1,70,1,0,1,9,4,245,56,237,77,94,69.35,151.2,60.85,2
70,1,70,0,0,0,9,4,245,56,237,77,94,69.35,151.2,60.85,1
71,1,45,0,0,1,9,4,245,56,237,77,94,69.35,151.2,60.85,1
72,1,70,0,0,1,9,4,245,56,237,77,94,69.35,151.2,60.85,1
73,1,35,0,0,0,9,4,231,56,237,97,69,67.26,155.8,59,3
74,1,15,0,1,1,9,4,231,56,237,97,69,67.26,155.8,59,3
75,1,55,0,0,1,9,4,231,56,237,97,69,67.26,155.8,59,3
76,1,70,1,1,0,9,4,231,56,237,97,69,67.26,155.8,59,3
77,1,70,1,1,1,9,4,231,56,237,97,69,67.26,155.8,59,3
78,1,45,1,0,1,9,4,231,56,237,97,69,67.26,155.8,59,3
79,1,70,1,0,0,9,4,231,56,237,97,69,67.26,155.8,59,3
80,1,35,1,1,1,9,4,231,56,237,97,69,67.26,155.8,59,3
81,1,70,1,0,1,9,4,231,56,237,97,69,67.26,155.8,59,3
82,1,45,1,0,1,9,4,231,56,237,97,69,67.26,155.8,59,3
83,1,70,0,0,0,9,4,231,56,237,97,69,67.26,155.8,59,2
84,1,70,0,0,1,9,4,231,56,237,97,69,67.26,155.8,59,2
85,1,70,0,1,1,9,4,231,56,237,97,69,67.26,155.8,59,2
86,1,70,0,0,1,9,4,231,56,237,97,69,67.26,155.8,59,2
87,1,70,0,0,1,9,4,231,56,237,97,69,67.26,155.8,59,2
88,1,70,0,0,1,9,4,231,56,237,97,69,67.26,155.8,59,2
89,1,55,0,0,1,9,4,231,56,237,97,69,67.26,155.8,59,2
90,1,70,0,0,0,9,4,231,56,237,97,69,67.26,155.8,59,2
91,1,55,0,0,1,9,4,231,56,237,97,69,67.26,155.8,59,2
92,1,70,1,0,1,9,4,231,56,237,97,69,67.26,155.8,59,2
93,1,35,0,0,1,9,4,231,56,237,97,69,67.26,155.8,59,1
94,1,55,0,0,0,9,4,231,56,237,97,69,67.26,155.8,59,1
95,1,70,0,1,0,9,4,231,56,237,97,69,67.26,155.8,59,1
96,1,70,0,0,1,9,4,231,56,237,97,69,67.26,155.8,59,1
97,1,70,0,1,0,9,4,231,56,237,97,69,67.26,155.8,59,1
98,1,35,0,1,1,9,4,231,56,237,97,69,67.26,155.8,59,1
99,1,31.71,0,1,1,9,4,231,56,237,97,69,67.26,155.8,59,1
100,1,25,0,1,1,9,4,231,56,237,97,69,67.26,155.8,59,1
101,1,25,1,0,1,9,4,231,56,237,97,69,67.26,155.8,59,1
102,1,15,1,1,0,9,4,242,56,237,93,94,68.78,152.65,61.35,3
103,1,15,1,1,0,9,4,242,56,237,93,94,68.78,152.65,61.35,3
104,1,70,0,0,1,9,4,242,56,237,93,94,68.78,152.65,61.35,2
105,1,55,0,0,1,9,4,242,56,237,93,94,68.78,152.65,61.35,2
106,1,70,0,0,1,9,4,242,56,237,93,94,68.78,152.65,61.35,2
107,1,70,0,0,1,9,4,242,56,237,93,94,68.78,152.65,61.35,2
108,1,70,0,0,0,9,4,242,56,237,93,94,68.78,152.65,61.35,2
109,1,25,0,0,0,9,4,242,56,237,93,94,68.78,152.65,61.35,1
110,1,70,0,0,1,9,4,242,56,237,93,94,68.78,152.65,61.35,1
111,1,45,0,0,1,9,4,242,56,237,93,94,68.78,152.65,61.35,1
112,1,55,0,1,0,9,4,242,56,237,93,94,68.78,152.65,61.35,1
113,1,55,1,0,1,9,4,242,56,237,93,94,68.78,152.65,61.35,1
114,1,70,1,0,1,9,4,242,56,237,93,94,68.78,152.65,61.35,1
115,1,45,1,1,1,9,4,245,56,237,99,94,69.35,154.45,60.85,3
116,1,70,1,0,1,9,4,245,56,237,99,94,69.35,154.45,60.85,3
117,1,70,0,0,1,9,4,245,56,237,99,94,69.35,154.45,60.85,2
118,1,70,0,0,0,9,4,245,56,237,99,94,69.35,154.45,60.85,2
119,1,25,0,0,0,9,4,245,56,237,99,94,69.35,154.45,60.85,1
120,1,45,0,0,1,9,4,245,56,237,99,94,69.35,154.45,60.85,1
121,1,70,0,1,1,9,4,245,56,237,99,94,69.35,154.45,60.85,1
122,1,25,1,1,1,9,4,245,56,237,99,94,69.35,154.45,60.85,1
123,1,45,1,0,0,9,4,245,56,237,99,94,69.35,154.45,60.85,1
124,0,45,0,1,1,9,4,262,56,237,84,108,71.63,146.2,61.85,1
125,0,70,0,1,1,9,4,265,56,237,104,112,72.2,154.2,62.85,2
126,0,70,0,0,1,9,4,265,56,237,104,112,72.2,154.2,62.85,2
127,0,45,0,0,1,9,4,265,56,237,104,112,72.2,154.2,62.85,1
128,0,35,0,0,1,9,4,265,56,237,104,112,72.2,154.2,62.85,1
129,0,70,0,0,0,9,4,265,56,237,104,112,72.2,154.2,62.85,1
130,0,45,0,0,1,9,4,265,56,237,99,94,72.2,155.2,61.85,1
131,0,55,0,0,0,9,4,276,56,237,114,124,77.71,150.2,62.85,1
132,0,70,0,0,0,9,4,276,56,237,114,124,77.71,150.2,62.85,1
133,0,70,0,0,1,9,4,258,56,237,109,112,74.67,150.2,62.85,1
134,0,55,1,0,1,9,3,262,56,317,134,59,76.95,154.2,64.65,2
135,0,15,0,0,0,9,4,277,56,237,134,144,81.32,154.2,70.85,1
136,0,70,0,0,1,9,2,314,56,316,122,94,82.27,148.75,64.25,1
137,0,70,1,0,0,9,4,313,56,237,124,114,90.44,150.2,70.85,1
138,0,35,1,0,1,6,3,402,161,391,99,74,115.52,178.5,83.65,1
139,0,35,0,0,1,6,3,373,161,430,67,64,112.48,175.65,88.75,3
140,0,70,0,0,1,6,3,373,161,430,67,64,112.48,175.65,88.75,3
141,0,70,0,0,1,6,3,373,161,430,67,64,112.48,175.65,88.75,2
142,1,35,0,0,0,9,2,493,181,573,84,84,140.03,207.8,106.65,1
143,1,30.6,0,1,0,9,2,500,181,573,79,73,146.49,204.4,104.65,3
144,1,55,1,1,0,9,2,500,181,573,79,73,146.49,204.4,104.65,3
145,1,70,0,0,1,9,2,500,181,573,79,73,146.49,204.4,104.65,2
146,1,30.6,0,0,0,9,2,500,181,573,79,73,146.49,204.4,104.65,2
147,1,70,0,0,1,9,2,500,181,573,79,73,146.49,204.4,104.65,2
148,1,55,0,1,0,9,2,500,181,573,79,73,146.49,204.4,104.65,2
149,1,55,1,0,0,9,2,500,181,573,79,73,146.49,204.4,104.65,2
150,1,55,1,0,1,9,2,500,181,573,79,73,146.49,204.4,104.65,2
151,1,35,0,0,0,9,2,500,181,573,79,73,146.49,204.4,104.65,1
152,1,15,0,0,0,9,2,500,181,573,79,73,146.49,204.4,104.65,1
153,1,70,1,0,0,9,2,562,170,580,80,74,169.67,226.15,107.35,2
154,1,25,1,1,0,9,2,549,170,599,84,74,167.77,228.9,109.8,3
155,1,25,1,0,1,9,2,549,170,599,84,74,167.77,228.9,109.8,3
156,1,70,0,0,0,9,2,549,170,599,84,74,167.77,228.9,109.8,2
157,1,35,1,1,0,9,2,549,170,599,84,74,167.77,228.9,109.8,2
158,1,45,1,1,0,9,2,549,170,599,84,74,167.77,228.9,109.8,1
159,0,70,0,0,1,9,4,220,56,209,145,105,61.37,163.6,67.4,1
160,0,45,0,0,1,9,2,173,56,260,135,75,48.83,163.3,47.4,1
161,0,45,0,0,1,9,2,178,56,260,140,77,49.59,158.3,48.4,1
162,0,70,1,0,1,9,4,208,56,215,100,74,56.05,150.3,58,1
163,0,55,0,0,1,9,4,210,56,215,106,90,56.62,150.3,59.5,1
164,0,70,0,1,1,9,4,256,56,215,91,85,67.45,146.9,59,3
165,0,70,0,0,1,9,4,256,56,215,91,85,67.45,146.9,59,1
166,1,55,0,0,1,9,4,240,56,237,83,105,65.17,155.3,61.6,2
167,1,70,1,1,1,9,4,226,56,237,103,80,63.08,159.9,59.75,3
168,1,70,0,0,1,9,4,237,56,237,99,105,64.6,156.75,62.1,2
169,1,70,0,0,1,9,4,237,56,237,99,105,64.6,156.75,62.1,2
170,0,35,0,0,0,9,4,260,56,237,110,123,68.02,158.3,63.6,1
171,0,70,0,0,0,9,4,276,56,237,115,135,70.3,154.3,63.6,2
172,0,70,1,0,1,9,4,271,56,237,120,135,73.53,154.3,63.6,1
173,0,70,0,0,0,6,3,330,161,391,105,75,96.33,182.6,79.2,1
174,0,55,0,1,1,9,2,473,181,547,135,70,141.55,219.9,103.6,2
175,0,35,0,0,1,9,2,473,181,547,135,70,141.55,219.9,103.6,1
176,1,34.37,0,0,1,9,2,494,181,573,85,84,142.31,208.5,105.4,3
177,1,32.97,0,0,1,9,2,507,181,573,85,85,144.21,209.9,107.1,2
178,0,35,0,0,1,9,4,175,56,209,165,115,49.78,163.6,68.4,1
179,0,45,0,0,1,9,2,128,56,260,155,85,37.24,163.3,48.4,1
180,0,15,0,0,1,9,2,128,56,260,155,85,37.24,163.3,48.4,1
181,0,45,1,0,1,9,2,128,56,260,155,85,37.24,163.3,48.4,1
182,0,70,0,0,1,9,4,149,56,209,130,90,41.23,153.65,57.4,1
183,0,55,1,0,0,9,4,211,56,215,111,95,55.86,146.9,60,1
184,1,70,0,1,1,9,4,181,56,237,123,90,51.49,159.9,60.75,3
185,1,70,0,1,1,9,4,181,56,237,123,90,51.49,159.9,60.75,3
186,1,55,1,1,1,9,4,181,56,237,123,90,51.49,159.9,60.75,3
187,1,70,0,0,0,9,4,181,56,237,123,90,51.49,159.9,60.75,1
188,1,35,1,0,1,9,4,181,56,237,123,90,51.49,159.9,60.75,1
189,1,25,1,1,0,9,4,192,56,237,119,115,53.01,156.75,63.1,1
190,0,70,0,0,1,9,4,269,56,237,175,170,75.24,168.3,75.6,3
191,0,45,0,0,0,4,2,146,50,210,145,70,41.42,157.8,41.8,1
192,0,35,0,0,0,4,4,182,50,165,110,69,48.64,144.8,48.2,1
193,1,70,0,1,1,4,4,199,50,187,113,75,55.67,154.4,50.75,3
194,1,70,1,0,1,4,4,199,50,187,113,75,55.67,154.4,50.75,1
195,0,45,0,0,1,4,2,135,50,124,140,105,37.62,156.5,41.7,1
196,0,55,1,0,0,4,1,234,50,159,118,100,65.93,149.9,53.5,1
197,0,25,0,1,0,4,2,116,50,124,130,70,33.06,150.5,37.7,1
198,0,70,0,0,1,4,3,128,50,149,120,70,37.05,151.5,37.7,1
199,0,45,0,0,1,4,3,128,50,149,120,70,37.05,151.5,37.7,1
200,0,70,0,0,0,4,1,143,50,159,114,80,39.33,138.5,47.5,1
201,0,70,0,0,1,4,1,149,50,159,95,75,41.04,141.85,42.5,1
202,0,70,0,0,1,4,1,163,50,165,85,69,44.27,138.5,44.1,1
203,0,70,0,0,1,4,1,163,50,165,85,69,44.27,138.5,44.1,1
204,0,70,1,0,0,4,1,163,50,165,85,69,44.27,138.5,44.1,1
205,0,25,0,1,1,4,1,211,50,165,76,80,55.67,135.1,45.1,1
206,0,70,0,0,1,4,1,211,50,165,76,80,55.67,135.1,45.1,1
207,0,35,0,1,1,4,1,211,50,165,76,80,55.67,135.1,45.1,1
208,0,70,1,0,0,4,1,211,50,165,76,80,55.67,135.1,45.1,1
209,0,70,1,0,1,4,3,200,50,205,76,65,57.57,138.1,45.1,3
210,0,35,0,0,1,4,3,200,50,205,76,65,57.57,138.1,45.1,1
211,0,70,0,0,1,4,3,200,50,205,76,65,57.57,138.1,45.1,1
212,1,55,0,0,0,4,4,195,50,187,68,100,53.39,143.5,48.5,1
213,1,70,0,0,0,4,4,195,50,187,68,100,53.39,143.5,48.5,1
214,1,70,0,0,1,4,4,195,50,187,68,100,53.39,143.5,48.5,1
215,1,35,1,0,1,4,4,195,50,187,68,100,53.39,143.5,48.5,1
216,1,31.71,1,0,1,4,4,195,50,187,68,100,53.39,143.5,48.5,1
217,1,55,0,0,0,4,4,181,50,187,88,75,51.3,148.1,46.65,1
218,1,35,0,0,1,4,4,181,50,187,88,75,51.3,148.1,46.65,1
219,1,35,0,1,1,4,4,181,50,187,88,75,51.3,148.1,46.65,1
220,1,70,0,1,1,4,4,192,50,187,84,100,52.82,144.95,49,1
221,1,45,0,0,1,4,4,192,50,187,84,100,52.82,144.95,49,1
222,1,70,0,0,1,4,4,192,50,187,84,100,52.82,144.95,49,1
223,1,25,0,1,0,4,4,195,50,187,90,100,53.39,146.75,48.5,1
224,1,35,1,0,1,4,4,195,50,187,90,100,53.39,146.75,48.5,1
225,0,45,1,0,0,4,4,211,50,196,125,100,60.99,146.5,50.6,3
226,0,31.36,0,0,1,4,4,211,50,196,125,100,60.99,146.5,50.6,1
227,0,70,0,0,0,4,3,255,50,205,113,100,59.47,141.05,51.1,1
228,0,70,0,0,1,4,2,428,149,576,120,115,129.77,219.1,97.1,2
229,0,55,0,0,1,4,2,428,149,576,120,115,129.77,219.1,97.1,2
230,1,70,1,0,1,4,2,449,149,576,70,79,130.53,207.7,93.1,2
231,0,70,1,0,1,4,3,568,149,570,100,110,165.68,232.48,111.9,2
232,0,70,1,1,1,4,3,512,149,570,82,85,153.71,224.48,109.35,2
233,0,70,0,0,1,4,3,512,149,570,82,90,153.71,224.48,107.9,2
234,0,55,1,0,1,4,3,512,149,570,82,90,153.71,224.48,107.9,2
235,1,70,0,0,0,4,3,498,149,570,75,80,151.81,222.48,102.45,2
236,0,55,0,1,1,4,3,152,50,170,130,80,39.33,155.5,45.4,1
237,0,45,0,0,1,4,1,145,50,159,129,95,38.38,144.8,51,1
238,1,55,0,1,0,4,4,183,50,187,103,90,50.35,154.4,50.15,1
239,1,25,0,1,1,4,4,183,50,187,103,90,50.35,154.4,50.15,1
240,0,70,0,0,1,4,2,372,149,576,145,130,110.58,225.4,100.6,1
241,1,70,1,1,0,4,2,451,149,576,85,94,129.58,214,96.6,3
242,0,25,0,0,1,25,5,187,40,92,143,100,40.66,140.8,43.75,1
243,0,45,0,0,1,25,4,101,40,82,155,83,26.79,142.4,30.75,1
244,0,25,1,1,0,25,4,113,40,103,140,65,27.74,140.1,32.15,2
245,0,70,1,0,1,25,4,113,40,103,140,65,27.74,140.1,32.15,1
246,0,35,0,0,1,25,5,112,40,92,120,75,28.5,132.75,32.75,1
247,0,25,0,0,0,25,5,112,40,92,120,75,28.5,132.75,32.75,1
248,0,70,0,0,0,25,4,164,40,138,101,65,45.03,129,40.35,1
249,1,70,0,0,1,25,12,159,40,120,93,100,40.85,134.4,43.75,1
250,1,35,0,0,1,25,12,159,40,120,93,100,40.85,134.4,43.75,1
251,1,55,0,1,1,25,12,144,40,120,113,75,38.76,139,41.9,3
252,1,70,0,1,1,25,12,144,40,120,113,75,38.76,139,41.9,3
253,1,55,0,1,0,25,12,144,40,120,113,75,38.76,139,41.9,3
254,1,45,1,1,1,25,12,144,40,120,113,75,38.76,139,41.9,3
255,1,70,0,0,1,25,12,144,40,120,113,75,38.76,139,41.9,2
256,1,28.2,0,0,1,25,12,144,40,120,113,75,38.76,139,41.9,1
257,1,25,1,0,1,25,12,144,40,120,113,75,38.76,139,41.9,1
258,0,45,1,0,0,25,12,226,40,120,140,120,61.94,133.4,53.75,1
259,0,70,1,1,1,5,4,333,96,356,155,65,98.99,183.6,78.55,1
260,1,70,0,0,0,5,2,406,96,434,100,90,111.53,175.6,92.75,2
261,1,70,0,0,0,5,2,406,96,434,100,90,111.53,175.6,92.75,2
262,1,45,1,0,1,5,2,413,96,434,95,79,117.99,172.2,90.75,3
263,1,45,1,1,0,5,2,413,96,434,95,79,117.99,172.2,90.75,3
264,1,70,0,0,0,5,2,413,96,434,95,79,117.99,172.2,90.75,1
265,1,55,0,0,0,5,2,426,96,434,95,80,119.89,173.6,92.45,2
266,1,70,0,0,1,25,4,475,139,458,96,80,141.17,198.35,92.65,1
267,1,35,1,1,1,25,4,469,139,477,103,75,140.22,201.75,94.55,2
268,0,25,0,0,1,25,8,91,40,57,150,115,22.8,147.4,33,1
269,0,70,0,0,1,25,8,94,40,57,145,95,22.04,140.9,29.5,1
270,0,45,0,0,1,25,8,94,40,57,145,95,22.04,140.9,29.5,1
271,0,35,0,0,1,25,8,94,40,57,145,95,22.04,140.9,29.5,1
272,0,70,0,0,1,25,8,94,40,57,145,95,22.04,140.9,29.5,1
273,0,55,1,0,1,6,5,237,60,256,138,95,68.02,161.45,61.9,1
274,0,35,1,1,1,6,5,237,60,256,138,95,68.02,161.45,61.9,1
275,0,35,0,0,0,36,2,383,58,377,175,140,110.58,175.5,82.6,1
276,0,70,1,0,0,36,2,383,58,377,175,140,110.58,175.5,82.6,1
277,1,70,0,0,0,45,3,426,69,406,151,105,125.21,192.15,87.1,2
278,0,70,0,0,1,45,3,460,69,425,205,150,138.13,204.9,95,2
279,0,70,0,0,1,25,5,115,40,92,120,85,27.93,130.9,38.5,1
280,0,45,0,0,0,36,3,349,58,367,150,130,103.93,165.5,84.4,2
281,0,55,0,0,1,25,5,133,40,92,135,90,34.01,136.2,40.5,1
282,0,70,0,0,1,25,5,133,40,92,135,90,34.01,136.2,40.5,1
283,0,45,0,0,1,25,5,133,40,92,135,90,34.01,136.2,40.5,1
284,0,45,1,0,0,25,5,133,40,92,135,90,34.01,136.2,40.5,1
285,0,35,1,0,0,6,4,221,60,233,128,90,67.45,156.75,65.7,3
286,0,45,0,0,0,36,2,327,58,356,190,85,100.7,178.2,80.6,3
287,0,70,0,0,0,36,2,327,58,356,190,85,100.7,178.2,80.6,3
288,1,70,0,0,1,36,3,348,58,367,140,99,101.46,166.8,82.4,2
289,1,25,1,1,1,36,3,348,58,367,140,99,101.46,166.8,82.4,2
290,1,70,1,0,1,36,3,348,58,367,140,99,101.46,166.8,82.4,2
291,1,55,1,0,1,36,3,361,58,367,140,100,103.36,168.2,84.1,2
292,1,70,0,0,1,45,3,410,69,375,141,100,124.64,187.45,85.1,2
293,1,70,0,0,0,45,3,410,69,375,141,100,124.64,187.45,85.1,2
294,1,70,0,0,0,45,3,397,69,394,145,100,122.74,190.2,87.55,2
295,1,55,0,0,1,45,3,404,69,394,145,87,123.69,196.75,85,2
296,1,27.75,0,0,1,45,3,404,69,394,145,87,123.69,196.75,85,1
297,1,35,1,1,1,45,3,404,69,394,145,87,123.69,196.75,85,1
298,0,35,0,0,0,25,5,148,40,92,137,95,37.24,135.9,44.05,1
299,0,70,0,0,0,25,5,148,40,92,137,95,37.24,135.9,44.05,1
300,0,55,1,1,0,25,5,148,40,92,137,95,37.24,135.9,44.05,1
301,1,45,1,1,1,36,3,362,58,367,142,104,104.69,166.5,85.95,2
302,1,70,1,1,1,36,3,375,58,367,142,105,106.59,167.9,87.65,2
303,1,70,0,1,1,45,3,425,69,375,143,105,127.87,187.15,88.65,2
304,0,70,0,0,1,25,5,144,40,92,140,100,37.62,150.9,42.5,1
305,0,26.6,0,0,0,25,5,144,40,92,140,100,37.62,150.9,42.5,1
306,0,35,0,0,1,25,5,144,40,92,140,100,37.62,150.9,42.5,1
307,0,35,1,0,1,25,5,144,40,92,140,100,37.62,150.9,42.5,1
308,0,45,0,0,1,6,4,195,60,233,165,120,59.09,174.3,72.2,1
309,1,35,1,0,1,36,3,359,58,367,145,109,105.07,181.5,84.4,3
310,1,70,0,0,1,36,3,359,58,367,145,109,105.07,181.5,84.4,2
311,1,35,0,1,1,36,3,359,58,367,145,109,105.07,181.5,84.4,2
312,0,45,0,1,1,36,3,365,58,367,150,115,106.02,187.9,87.4,3
313,1,35,1,0,1,45,3,421,69,375,146,110,128.25,202.15,87.1,2
314,0,45,1,1,1,45,3,416,69,394,163,115,128.63,211.25,90.5,2
315,0,25,0,0,0,25,5,193,40,92,123,90,50.35,134.3,40.5,1
316,0,70,0,0,1,25,5,193,40,92,123,90,50.35,134.3,40.5,1
317,0,25,1,1,1,25,5,193,40,92,123,90,50.35,134.3,40.5,1
318,0,35,0,0,1,25,5,194,40,92,163,120,49.78,140.8,45,1
319,0,55,0,0,0,6,4,281,60,233,116,90,83.79,154.85,65.7,3
320,1,29.31,0,0,0,36,3,407,58,367,128,99,117.8,164.9,82.4,2
321,1,70,0,0,1,36,3,407,58,367,128,99,117.8,164.9,82.4,2
322,1,70,0,1,0,45,3,470,69,375,129,100,140.98,185.55,85.1,2
323,1,35,0,0,0,45,3,470,69,375,129,100,140.98,185.55,85.1,1
324,0,55,0,0,1,25,4,116,40,103,140,90,29.45,142.4,35.4,1
325,0,35,0,0,1,25,4,167,40,144,86,101,40.85,126,50.55,1
326,0,55,0,0,1,25,4,156,40,144,86,107,42.75,129,55.55,1
327,1,70,0,0,0,25,4,151,40,144,78,102,38.57,134.4,45.55,1
328,1,45,0,0,0,25,4,137,40,144,98,77,36.48,139,43.7,3
329,1,45,1,0,1,25,4,137,40,144,98,77,36.48,139,43.7,3
330,1,15,0,0,1,25,4,137,40,144,98,77,36.48,139,43.7,1
331,1,25,0,0,1,25,4,468,139,458,81,90,138.89,198.35,92.9,2
332,0,70,1,1,1,4,2,588,169,675,73,75,178.41,238.03,115.75,3
333,0,55,0,0,1,25,8,74,40,57,135,60,17.48,134.9,25.5,1
334,0,70,0,0,1,25,8,74,40,57,135,60,17.48,134.9,25.5,1
335,0,70,0,0,1,25,8,82,40,57,135,60,19.19,135.9,27.5,1
336,0,15,0,1,1,25,4,86,40,82,125,60,21.47,135.9,25.5,3
337,0,45,0,0,1,25,4,86,40,82,125,60,21.47,135.9,25.5,3
338,0,37.94,0,0,1,25,4,86,40,82,125,60,21.47,135.9,25.5,1
339,0,55,0,1,1,25,4,86,40,82,125,60,21.47,135.9,25.5,1
340,0,35,0,1,1,25,4,86,40,82,125,60,21.47,135.9,25.5,1
341,0,45,0,0,0,25,4,86,40,82,125,60,21.47,135.9,25.5,1
342,0,70,0,0,1,25,4,86,40,82,125,60,21.47,135.9,25.5,1
343,0,55,0,0,1,25,4,86,40,82,125,60,21.47,135.9,25.5,1
344,0,25,0,0,0,25,4,86,40,82,125,60,21.47,135.9,25.5,1
345,0,55,0,0,1,25,4,86,40,82,125,60,21.47,135.9,25.5,1
346,0,70,0,0,1,25,4,86,40,82,125,60,21.47,135.9,25.5,1
