CASE,UNO,SERO,Mode,Alt1_ch,Alt2_ch,Alt3_ch,WEIGHT,DIST,VEHWRK,POPDENS,MALE,AGE,AGE45,HIGHINC,IVTT_DA,OVTT_DA,OVTDS_DA,COST_DA,IVTT_SR,OVTT_SR,OVTDS_SR,COST_SR,IVTT_TR,OVTT_TR,OVTDS_TR,COST_TR
27,1,0,2,0,1,0,0.2982,7.3,0.5,13.93,0,40,0,0,2.1,0.8,0.10959,5.68,2.41,1.04,0.14247,2.84,2.09,2.73,0.37397,1
28,1,0,1,1,0,0,0.2982,1.7,1,75.67,0,47,1,0,0.5,0.8,0.47059,0.24,0.68,1.04,0.61176,0.13,0.43,1.5,0.88235,0.5
29,1,0,1,1,0,0,0.2982,1.7,1,75.67,0,47,1,0,0.5,0.8,0.47059,0.24,0.68,1.04,0.61176,0.13,0.82,1.14,0.67059,0.5
30,1,0,1,1,0,0,0.2982,4.1,0.5,43.15,0,36,0,0,1.4,0.9,0.21951,4.08,1.68,1.14,0.27805,2.04,2.08,1.25,0.30488,0.75
31,1,0,3,0,0,1,0.2982,4.4,0.5,43.15,0,36,0,0,1.5,1,0.22727,4.11,1.78,1.25,0.28409,2.05,1.84,0.94,0.21364,0.75
32,1,0,1,1,0,0,0.6426,12.1,0.5,41.92,1,30,0,1,2.5,0.4,0.03306,1.19,2.87,0.59,0.04876,0.59,3.25,6.26,0.51736,2.4
33,1,0,2,0,1,0,0.6426,12.1,0.5,41.92,1,33,0,1,2.5,0.4,0.03306,1.19,2.87,0.59,0.04876,0.59,3.25,6.26,0.51736,2.4
34,1,0,1,1,0,0,0.6426,7,1,19.88,0,25,0,0,2.2,0.8,0.11429,3.19,2.51,1.04,0.14857,1.59,3.21,2.18,0.31143,1.25
35,1,0,1,1,0,0,1.8362,14,1,39.34,1,28,0,0,2.6,0.5,0.03571,1.37,2.98,0.7,0.05,0.69,2.57,2.97,0.21214,3
36,1,0,3,0,0,1,0.2982,3.3,1,39.34,0,26,0,0,1.3,0.8,0.24242,5.28,1.57,1.04,0.31515,2.64,0.62,1.54,0.46667,0.75
37,1,0,3,0,0,1,0.2982,3.6,1,39.34,0,26,0,0,1.3,0.8,0.22222,5.31,1.57,1.03,0.28611,2.65,0.62,1.95,0.54167,0.75
38,1,0,3,0,0,1,0.2982,4.9,1,75.67,1,23,0,0,1.6,0.9,0.18367,4.16,1.88,1.15,0.23469,2.08,2.68,0.69,0.14082,0.75
39,1,0,2,0,1,0,1.8362,8.3,2,16.12,0,30,0,0,2.3,0.5,0.06024,0.81,2.65,0.7,0.08434,0.41,2.75,4.25,0.51205,2.4
40,1,0,1,1,0,0,1.8362,2.4,1,10.92,1,61,1,0,0.7,0.5,0.20833,0.24,0.92,0.7,0.29167,0.12,1.19,2.46,1.025,1
41,1,0,3,0,0,1,0.2982,4.1,0.5,39.28,0,35,0,0,1.7,0.9,0.21951,5.36,2,1.14,0.27805,2.68,1.33,1.43,0.34878,0.75
42,1,0,2,0,1,0,0.2982,2.2,2,33.82,0,43,0,0,0.8,0.7,0.31818,0.89,1.04,0.94,0.42727,0.45,0.53,2.22,1.00909,0.75
43,1,0,1,1,0,0,0.2982,2.2,2,33.82,0,43,0,0,0.9,0.7,0.31818,0.89,1.15,0.94,0.42727,0.45,0.56,2.1,0.95455,0.75
44,1,0,1,1,0,0,0.6426,5.9,0.5,7.24,1,37,0,0,1.5,0.6,0.10169,0.58,1.79,0.81,0.13729,0.29,1.08,3.7,0.62712,0.75
45,1,0,1,1,0,0,0.6426,5.2,0.5,7.24,1,37,0,0,1.2,0.6,0.11538,0.51,1.46,0.84,0.16154,0.26,1.53,3.27,0.62885,1.25
46,1,0,1,1,0,0,0.6426,7.1,1,10.92,1,42,0,1,2,0.5,0.07042,0.7,2.33,0.7,0.09859,0.35,2.94,4,0.56338,1.75
47,1,0,1,1,0,0,1.8362,12.1,1,15.95,1,45,0,0,2.8,0.4,0.03306,1.19,3.47,0.56,0.04628,0.59,3.37,3.27,0.27025,2
48,1,0,3,0,0,1,0.2982,6.8,1,15.95,0,20,0,0,2.4,0.7,0.10294,5.63,2.72,0.94,0.13824,2.82,1.53,1.8,0.26471,0.75
49,1,0,3,0,0,1,0.2982,7.5,1,15.95,0,20,0,0,2.3,0.7,0.09333,5.69,2.65,0.92,0.12267,2.84,1.43,1.31,0.17467,0.75
50,1,0,3,0,0,1,0.2982,7.6,2,3.63,1,51,1,0,1.8,0.8,0.10526,5.7,2.11,1.03,0.13553,2.85,1.82,1.85,0.24342,1.25
51,1,0,2,0,1,0,0.2982,7.1,2,3.63,1,51,1,0,2,0.8,0.11268,5.66,2.3,1.04,0.14648,2.83,1.75,2.17,0.30563,1.25
52,1,0,3,0,0,1,0.2982,4.5,0.3,43.15,0,26,0,0,1.8,1,0.22222,5.4,2.09,1.25,0.27778,2.7,1.44,1.68,0.37333,0.75
53,1,0,1,1,0,0,0.6426,4.5,0.3,43.15,0,25,0,0,1.8,1,0.22222,0.44,2.09,1.25,0.27778,0.22,1.44,1.65,0.36667,0.75
54,1,0,1,1,0,0,0.2982,5.9,1,40.84,0,34,0,0,1.8,0.8,0.13559,5.54,2.11,1.03,0.17458,2.77,1.68,2.36,0.4,0.75
55,1,0,3,0,0,1,0.2982,7.1,1,16.17,0,30,0,0,2.5,0.6,0.08451,5.66,2.87,0.81,0.11408,2.83,0.81,1.89,0.2662,2.05
56,1,0,3,0,0,1,0.2982,6.7,1,16.17,0,30,0,0,2.7,0.6,0.08955,5.62,3.04,0.84,0.12537,2.81,0.81,1.94,0.28955,2.05
57,1,0,1,1,0,0,0.2982,4.7,0.5,75.67,1,36,0,0,1.2,0.5,0.10638,0.68,1.53,0.68,0.14468,0.34,3.2,1.24,0.26383,0.75
58,1,0,1,1,0,0,0.2982,4.2,0.5,75.67,1,36,0,0,1.3,0.6,0.14286,0.63,1.57,0.84,0.2,0.31,3.21,1.3,0.30952,0.75
59,1,0,3,0,0,1,0.2982,4.3,0.3,29.69,0,30,0,0,1.7,0.8,0.18605,5.38,1.99,1.04,0.24186,2.69,0.69,2.47,0.57442,0.75
60,1,0,2,0,1,0,0.2982,4.2,0.3,29.69,0,30,0,0,1.4,0.8,0.19048,5.37,1.68,1.03,0.24524,2.68,0.84,2.24,0.53333,0.75
61,1,0,1,1,0,0,0.6426,7.2,1,32.77,1,32,0,1,2.1,0.6,0.08333,0.71,2.44,0.81,0.1125,0.35,4.55,5.91,0.82083,1.5
62,1,0,1,1,0,0,0.2982,2.6,0.5,35.18,0,40,0,1,1,0.9,0.34615,1,1.25,1.14,0.43846,0.5,1.14,2.3,0.88462,0.5
63,1,0,2,0,1,0,1.8362,11.1,0.5,35.18,1,36,0,1,3,0.4,0.03604,1.09,3.35,0.63,0.05676,0.55,5.75,4.54,0.40901,1.75
64,1,0,1,1,0,0,1.8362,11.9,0.5,35.18,1,36,0,1,2.8,0.4,0.03361,1.17,3.2,0.59,0.04958,0.58,4.95,4.99,0.41933,1.75
65,1,0,3,0,0,1,0.2982,4.8,1,37.12,1,25,0,0,1.6,0.9,0.1875,5.43,2.02,1.16,0.24167,2.71,1.65,2.15,0.44792,0.75
66,1,0,1,1,0,0,0.2982,4.1,1,37.12,1,25,0,0,1.7,0.9,0.21951,5.36,2,1.14,0.27805,2.68,1.65,1.94,0.47317,0.9
67,1,0,1,1,0,0,1.8362,5.1,1,35.27,1,51,1,1,1.5,0.7,0.13725,1.5,1.78,0.94,0.18431,0.75,2.94,3.05,0.59804,1.25
68,1,0,3,0,0,1,0.2982,5.6,0.3,35.27,0,31,0,1,1.4,0.7,0.125,1.08,1.77,0.92,0.16429,0.55,1.58,2.5,0.44643,0.75
69,1,0,2,0,1,0,0.6426,1.4,0.3,35.27,0,27,0,1,0.5,0.6,0.42857,0.14,0.68,0.8,0.57143,0.07,0.51,1.58,1.12857,0.5
70,1,0,1,1,0,0,0.6426,1.4,0.3,35.27,0,27,0,1,0.5,0.6,0.42857,0.14,0.7,0.81,0.57857,0.07,0.46,1.52,1.08571,0.5
71,1,0,1,1,0,0,0.6426,20.1,1,9.83,0,40,0,0,3,0.4,0.0199,1.97,3.35,0.63,0.03134,0.98,5.53,4.41,0.2194,3.75
72,1,0,3,0,0,1,0.2982,6.2,0.5,7.98,0,27,0,0,1.4,0.7,0.1129,4.29,1.68,0.92,0.14839,2.14,0.81,2.99,0.48226,0.75
73,1,0,1,1,0,0,1.8362,1.8,1,6.76,1,68,1,0,0.5,0.4,0.22222,0.18,0.73,0.63,0.35,0.09,1.14,3.07,1.70556,1
74,1,0,1,1,0,0,1.8362,1.8,1,6.76,1,68,1,0,0.4,0.4,0.22222,0.18,0.59,0.59,0.32778,0.09,0.88,2.26,1.25556,1
75,1,0,1,1,0,0,0.6426,6.5,2,16.54,0,53,1,0,2.2,0.8,0.12308,0.64,2.51,1.04,0.16,0.32,2.18,2.03,0.31231,1.25
76,1,0,1,1,0,0,0.6426,6.5,2,16.54,0,53,1,0,2,0.8,0.12308,0.64,2.33,1.03,0.15846,0.32,3.09,1.96,0.30154,1.25
77,1,0,3,0,0,1,0.2982,6,1,19.91,0,42,0,0,1.9,0.8,0.13333,5.55,2.22,1.03,0.17167,2.77,1.54,2,0.33333,0.75
78,1,0,2,0,1,0,0.2982,5.5,0.5,21.01,0,29,0,0,1.8,0.9,0.16364,5.5,2.11,1.14,0.20727,2.75,2.75,2.15,0.39091,1.25
79,1,0,1,1,0,0,0.2982,2.2,0.5,35.06,0,44,0,0,0.6,0.7,0.31818,2.07,0.8,0.92,0.41818,1.04,0.96,1.38,0.62727,0.75
80,1,0,1,1,0,0,0.6426,1.4,1,16.25,0,60,1,0,0.3,0.4,0.28571,0.14,0.49,0.59,0.42143,0.07,0.14,1.45,1.03571,0.75
81,1,0,1,1,0,0,0.6426,3.7,1,16.25,0,60,1,0,0.7,0.4,0.10811,0.36,0.92,0.56,0.15135,0.18,1.04,1.69,0.45676,0.5
82,1,0,1,1,0,0,1.8362,3.8,1,16.25,0,60,1,0,0.8,0.4,0.10526,0.37,1.04,0.63,0.16579,0.18,1.05,1.69,0.44474,0.5
83,1,0,3,0,0,1,0.2982,2.6,0.3,41.86,0,22,0,0,0.9,0.7,0.26923,0.47,1.14,0.92,0.35385,0.23,0.7,1.69,0.65,0.75
84,1,0,1,1,0,0,0.6426,22.6,1,9.83,0,29,0,0,4.1,0.3,0.01327,2.21,4.6,0.49,0.02168,1.1,4,5.13,0.22699,3.1
85,1,0,1,1,0,0,0.2982,18,0.5,25.04,1,33,0,0,3.3,0.6,0.03333,1.76,4.08,0.8,0.04444,0.88,4.32,3.42,0.19,1.75
86,1,0,1,1,0,0,0.6426,4.2,1,44.42,1,40,0,0,1.3,0.6,0.14286,5.41,1.65,0.8,0.19048,2.7,1.89,2.76,0.65714,0.75
87,1,0,2,0,1,0,0.6426,4.3,1,44.42,1,40,0,0,1.3,0.6,0.13953,5.42,1.65,0.8,0.18605,2.71,1.89,3.04,0.70698,0.75
88,1,0,1,1,0,0,0.2982,4.9,0.5,17.46,1,38,0,0,1.5,0.6,0.12245,0.6,1.79,0.81,0.16531,0.3,1.12,2.88,0.58776,0.75
89,1,0,3,0,0,1,0.2982,1,1,35.6,0,38,0,0,0.4,0.8,0.8,0.77,0.59,1.03,1.03,0.39,0.5,1.27,1.27,0.5
90,1,0,1,1,0,0,0.2982,1,1,35.6,0,38,0,0,0.4,0.8,0.8,0.77,0.63,1.04,1.04,0.39,0.45,1.52,1.52,0.5
91,1,0,1,1,0,0,0.2982,10.4,1,75.67,0,42,0,0,2.5,0.5,0.04808,1.09,2.87,0.7,0.06731,0.55,4.11,1.78,0.17115,0.75
92,1,0,1,1,0,0,0.2982,14.1,1,75.67,0,42,0,0,3.5,0.5,0.03546,1.45,3.88,0.73,0.05177,0.73,4.15,1.74,0.1234,0.75
93,1,0,3,0,0,1,0.2982,6.5,0.5,19.09,0,32,0,1,1.3,0.9,0.13846,5.6,1.65,1.16,0.17846,2.8,1.17,2.87,0.44154,0.75
94,1,0,3,0,0,1,0.2982,6.9,0.5,19.09,0,32,0,1,1.8,0.9,0.13043,5.64,2.11,1.14,0.16522,2.82,1.22,2.81,0.40725,0.75
95,1,0,1,1,0,0,0.6426,1.2,1,15.95,0,45,0,0,0.3,0.5,0.41667,0.12,0.49,0.7,0.58333,0.06,0.56,1.41,1.175,0.5
96,1,0,2,0,1,0,0.2982,1.2,1,15.95,0,45,0,0,0.3,0.5,0.41667,0.19,0.44,0.68,0.56667,0.1,0.82,2.1,1.75,0.5
97,1,0,1,1,0,0,1.8362,18.2,1,19.91,0,66,1,0,3.6,0.3,0.01648,1.78,3.98,0.52,0.02857,0.89,3.88,6.13,0.33681,3
98,1,0,1,1,0,0,1.8362,13,1,19.91,0,66,1,0,3.3,0.3,0.02308,1.27,3.74,0.49,0.03769,0.64,6.06,3.76,0.28923,1.25
99,1,0,1,1,0,0,1.8362,18.2,1,19.91,0,66,1,0,3.6,0.3,0.01648,1.78,3.98,0.52,0.02857,0.89,6.46,4.15,0.22802,2.25
100,1,0,1,1,0,0,1.8362,13.3,1,15.39,0,38,0,0,3.8,0.3,0.02256,1.3,4.19,0.52,0.0391,0.65,4.28,4.59,0.34511,3.5
101,1,0,3,0,0,1,0.2982,6.4,0.5,32.1,0,44,0,0,2,0.8,0.125,3.56,2.33,1.03,0.16094,1.79,1.52,1.66,0.25938,2.1
102,1,0,1,1,0,0,0.2982,5.4,0.5,32.1,1,43,0,0,1.8,0.9,0.16667,4.21,2.09,1.15,0.21296,2.11,1.95,3.07,0.56852,1.25
103,1,0,3,0,0,1,0.2982,2.1,0.5,10.81,0,31,0,0,0.6,0.5,0.2381,0.43,0.81,0.7,0.33333,0.21,0.59,0.77,0.36667,0.5
104,1,0,1,1,0,0,0.2982,6.6,1,21.57,0,31,0,0,2.1,0.7,0.10606,3.88,2.44,0.92,0.13939,1.95,0.81,2.42,0.36667,2.15
105,1,0,2,0,1,0,0.2982,6.3,2,20.73,1,41,0,0,1.9,0.6,0.09524,3.55,2.38,0.8,0.12698,1.78,1.94,2.7,0.42857,0.75
106,1,0,1,1,0,0,0.2982,3.4,0.5,44.83,1,64,1,1,0.9,0.6,0.17647,0.86,1.16,0.8,0.23529,0.44,0.85,1.83,0.53824,0.75
107,1,0,1,1,0,0,0.2982,3.5,0.5,44.83,1,64,1,1,0.9,0.6,0.17143,0.87,1.16,0.8,0.22857,0.44,0.84,1.83,0.52286,0.75
108,1,0,1,1,0,0,1.8362,2.1,0.5,44.83,0,60,1,1,0.7,0.4,0.19048,0.21,0.92,0.59,0.28095,0.1,0.16,1.93,0.91905,0.75
109,1,0,1,1,0,0,1.8362,2.1,0.5,44.83,0,60,1,1,0.7,0.4,0.19048,0.21,0.94,0.63,0.3,0.1,0.16,2.03,0.96667,0.75
110,1,0,1,1,0,0,0.2982,3.4,0.5,44.83,1,27,0,1,1.4,0.6,0.17647,3.26,1.67,0.84,0.24706,1.64,0.85,2.1,0.61765,0.75
111,1,0,3,0,0,1,0.2982,3.3,0.5,44.83,1,27,0,1,1.2,0.6,0.18182,3.25,1.46,0.81,0.24545,1.63,0.84,2.36,0.71515,0.75
112,1,0,1,1,0,0,0.2982,4.7,0.5,29.69,1,44,0,0,1.1,0.5,0.10638,0.47,1.41,0.68,0.14468,0.24,1.65,3.03,0.64468,1.25
113,1,0,1,1,0,0,0.2982,5.4,0.5,29.69,1,44,0,0,1.2,0.5,0.09259,0.54,1.46,0.73,0.13519,0.28,2.33,2.42,0.44815,1.25
114,1,0,1,1,0,0,0.2982,6.9,1,25.83,0,24,0,0,1.5,0.6,0.08696,1.21,1.79,0.81,0.11739,0.61,1.58,0.68,0.09855,1
115,1,0,3,0,0,1,0.2982,6.9,1,25.83,0,23,0,0,1.5,0.6,0.08696,1.21,1.79,0.81,0.11739,0.61,1.58,0.93,0.13478,1.25
116,1,0,1,1,0,0,0.6426,5,1,9.53,0,44,0,0,1.3,0.4,0.08,0.49,1.57,0.59,0.118,0.24,2.2,2.11,0.422,0.5
117,1,0,1,1,0,0,1.8362,9.4,1,24.12,0,44,0,0,2.1,0.7,0.07447,1.45,2.44,0.92,0.09787,0.73,3.62,3.57,0.37979,1.25
118,1,0,1,1,0,0,1.8362,9.7,1,24.12,0,44,0,0,2.1,0.7,0.07216,1.48,2.62,0.92,0.09485,0.74,4.07,2.85,0.29381,1.25
119,1,0,1,1,0,0,0.2982,2.7,0.5,36.78,1,30,0,0,0.8,0.5,0.18519,0.43,1.03,0.7,0.25926,0.22,0.84,1.46,0.54074,0.75
120,1,0,3,0,0,1,0.2982,7.3,2,19.99,0,33,0,0,2.5,0.7,0.09589,5.68,2.83,0.94,0.12877,2.84,2.59,1.9,0.26027,1.25
121,1,0,1,1,0,0,0.2982,7.6,2,19.99,0,33,0,0,2.4,0.7,0.09211,5.7,2.76,0.92,0.12105,2.85,2.41,1.97,0.25921,1.25
122,1,0,1,1,0,0,1.8362,14.4,1,35.06,1,31,0,0,2.8,0.5,0.03472,2.41,3.2,0.7,0.04861,1.2,4.91,3.04,0.21111,1.25
123,1,0,2,0,1,0,1.8362,3.3,1,35.06,1,31,0,0,1.3,0.7,0.21212,1.32,1.57,0.94,0.28485,0.66,1.84,1.98,0.6,0.5
124,1,0,3,0,0,1,0.2982,3,1,75.67,0,23,0,0,1.1,0.7,0.23333,2.14,1.36,0.94,0.31333,1.07,1.53,2.21,0.73667,0.75
125,1,0,1,1,0,0,0.2982,3.2,1,75.67,0,23,0,0,1,0.7,0.21875,2.16,1.25,0.92,0.2875,1.08,1.53,1.81,0.56563,0.75
126,1,0,1,1,0,0,0.2982,3,1,59.6,0,33,0,0,1,0.8,0.26667,2.14,1.25,1.03,0.34333,1.07,1.55,1.47,0.49,0.75
127,1,0,2,0,1,0,0.2982,5.5,1,32.1,0,52,1,0,1.6,0.9,0.16364,4.22,1.9,1.14,0.20727,2.11,1.24,1.95,0.35455,2.3
128,1,0,3,0,0,1,0.2982,5.6,1,29.56,0,35,0,0,1.5,0.6,0.10714,3.48,1.79,0.81,0.14464,1.75,1.97,1.45,0.25893,1.25
129,1,0,1,1,0,0,0.2982,4.8,1.5,10.92,0,47,1,0,1.7,0.8,0.16667,4.15,2,1.03,0.21458,2.07,1.62,2.31,0.48125,1.25
130,1,0,1,1,0,0,0.2982,4.8,1.5,10.92,0,47,1,0,1.8,0.8,0.16667,4.15,2.09,1.04,0.21667,2.07,1.62,2.53,0.52708,1.25
131,1,0,1,1,0,0,0.2982,2.4,0.5,16.39,0,39,0,1,0.8,0.6,0.25,2.09,1.04,0.84,0.35,1.05,0.63,1.94,0.80833,0
132,1,0,1,1,0,0,0.6426,10.9,2.5,14.18,0,43,0,1,3,0.4,0.0367,1.07,3.35,0.63,0.0578,0.54,3.76,5.04,0.46239,0.9
133,1,0,1,1,0,0,0.2982,4.3,1,25.58,1,33,0,0,1.7,0.6,0.13953,0.59,1.99,0.84,0.19535,0.3,3.7,1.85,0.43023,1.25
134,1,0,1,1,0,0,0.2982,3.8,1,25.58,1,33,0,0,1.4,0.6,0.15789,0.54,1.68,0.81,0.21316,0.27,3.8,1.75,0.46053,1.25
135,1,0,2,0,1,0,0.6426,1.9,1,29.48,0,63,1,0,0.6,0.7,0.36842,0.19,0.81,0.92,0.48421,0.1,0.5,2.18,1.14737,0.5
136,1,0,1,1,0,0,1.8362,1.9,1,29.48,0,63,1,0,0.6,0.7,0.36842,0.19,0.8,0.92,0.48421,0.1,0.5,2.18,1.14737,0.5
137,1,0,3,0,0,1,1.8362,3.2,1,9.83,1,42,0,1,0.9,0.5,0.15625,0.31,1.14,0.7,0.21875,0.15,1.03,1.42,0.44375,0.5
138,1,0,1,1,0,0,1.8362,6.7,1,4.06,1,72,1,1,2.2,0.7,0.10448,7.54,2.55,0.92,0.13731,3.77,2.22,1.64,0.24478,1.4
139,1,0,3,0,0,1,0.2982,5,1,9.7,1,19,0,0,1.5,0.7,0.14,4.17,1.78,0.94,0.188,2.08,2,1.98,0.396,1.5
140,1,0,1,1,0,0,0.2982,5.1,1,9.7,1,19,0,0,1.1,0.7,0.13725,4.18,1.41,0.92,0.18039,2.09,1.46,1.8,0.35294,1.5
141,1,0,3,0,0,1,0.6426,1.7,0.5,17.32,0,29,0,0,0.5,0.5,0.29412,0.17,0.7,0.7,0.41176,0.09,0.39,1.28,0.75294,0.5
142,1,0,1,1,0,0,1.8362,6.9,2,32.1,1,47,1,0,1.7,0.7,0.10145,0.68,2.14,0.92,0.13333,0.34,2.14,3,0.43478,1.25
143,1,0,3,0,0,1,0.2982,3.9,0.5,46.78,0,35,0,0,1.5,0.7,0.17949,3.31,1.78,0.94,0.24103,1.66,0.69,2.04,0.52308,0.75
144,1,0,1,1,0,0,0.2982,4.9,0.5,46.78,0,35,0,0,1.4,0.7,0.14286,3.41,1.68,0.92,0.18776,1.71,0.72,2.42,0.49388,0.75
145,1,0,1,1,0,0,1.8362,4.4,1,32.1,1,36,0,0,1.3,0.5,0.11364,0.43,1.57,0.73,0.16591,0.21,2.8,2.83,0.64318,1
146,1,0,3,0,0,1,0.2982,3.3,0.5,29.69,0,35,0,1,1.1,0.9,0.27273,4,1.35,1.14,0.34545,2,0.6,1.65,0.5,0.75
147,1,0,3,0,0,1,0.2982,4.1,0.5,29.69,1,36,0,1,1.5,0.8,0.19512,5.36,1.78,1.04,0.25366,2.68,0.69,1.92,0.46829,0.75
148,1,0,1,1,0,0,0.2982,3.1,2,28.54,0,30,0,0,1.1,0.8,0.25806,1.05,1.36,1.04,0.33548,0.53,1.94,1.59,0.5129,0.75
149,1,0,1,1,0,0,0.2982,3,2,28.54,0,30,0,0,1,0.8,0.26667,1.04,1.25,1.03,0.34333,0.52,1.94,1.38,0.46,0.75
150,1,0,1,1,0,0,1.8362,3.8,1,24.05,1,58,1,0,0.9,0.5,0.13158,0.37,1.14,0.7,0.18421,0.18,1.6,3.05,0.80263,1
151,1,0,1,1,0,0,1.8362,9.4,1,2.8,0,25,0,0,1.9,0.3,0.03191,0.92,2.38,0.44,0.04681,0.46,6.5,4.84,0.51489,4.75
152,1,0,1,1,0,0,1.8362,10.8,1,2.8,0,40,0,0,0.22,0.4,0.03704,1.06,0.34,0.56,0.05185,0.53,4.57,3.9,0.36111,2.75
153,1,0,2,0,1,0,0.2982,25.4,2,1.88,0,55,1,0,3.6,0.5,0.01969,3.02,4.44,0.68,0.02677,1.52,4.3,1.76,0.06929,3.3
154,1,0,1,1,0,0,0.2982,24.2,0.5,19.93,1,28,0,0,4.8,0.7,0.02893,3.12,5.24,0.94,0.03884,1.57,4.53,2.28,0.09421,3.25
155,1,0,1,1,0,0,0.2982,24.6,0.5,19.93,1,28,0,0,4.5,0.7,0.02846,3.16,5.04,0.92,0.0374,1.59,3.83,2.02,0.08211,3.25
